id,name,city_id:id,parent_id:id
city_division_1,محله مشیریه,city_ir_331170373,
city_division_2,محله منصور آباد,city_ir_331170373,
city_division_3,محله مهرآباد,city_ir_331170373,
city_division_4,محله میرداماد,city_ir_331170373,
city_division_5,محله مینی سیتی,city_ir_331170373,
city_division_6,محله نادری,city_ir_331170373,
city_division_7,محله نارمک,city_ir_331170373,
city_division_8,محله نظام آباد,city_ir_331170373,
city_division_9,محله نعمت‌آباد,city_ir_331170373,
city_division_10,محله نیاوران,city_ir_331170373,
city_division_11,محله نیروی هوائی,city_ir_331170373,
city_division_12,محله هاشمی,city_ir_331170373,
city_division_13,محله هروی,city_ir_331170373,
city_division_14,محله وحیدیه,city_ir_331170373,
city_division_15,محله وردآورد,city_ir_331170373,
city_division_16,محله ولنجک,city_ir_331170373,
city_division_17,محله ونک,city_ir_331170373,
city_division_18,محله یاخچی‌آباد,city_ir_331170373,
city_division_19,محله یافت آباد,city_ir_331170373,
city_division_20,محله یافت‌آباد,city_ir_331170373,
city_division_21,محله یوسف‌آباد,city_ir_331170373,
city_division_22,فاز (1),city_ir_331150370,
city_division_23,فاز (2),city_ir_331150370,
city_division_24,فاز (3),city_ir_331150370,
city_division_25,فاز (4),city_ir_331150370,
city_division_26,فاز (5) شمالی,city_ir_331150370,
city_division_27,فاز (5) جنوبی,city_ir_331150370,
city_division_28,فاز (6),city_ir_331150370,
city_division_29,فاز (7),city_ir_331150370,
city_division_30,فاز (8),city_ir_331150370,
city_division_31,فاز (9),city_ir_331150370,
city_division_32,فاز (10),city_ir_331150370,
city_division_33,فاز (11),city_ir_331150370,
city_division_34,بلوار شهید فخری زاده,city_ir_331150370,city_division_33
city_division_35,بلوار فرهنگ شرقی,city_ir_331150370,city_division_34
city_division_36,بلوار دانا,city_ir_331150370,city_division_35
city_division_37,کوچه املاک زاگرس,city_ir_331150370,city_division_36
city_division_38,فاز (12),city_ir_331150370,
city_division_39,میدان شهید رئیسی,city_ir_331150370,city_division_22
city_division_40,میدان امام خمینی,city_ir_331150370,city_division_23
city_division_41,محله بلوار کشاورز,city_ir_120140039,
city_division_42,محله بید آباد,city_ir_120140039,
city_division_43,محله پاچنار,city_ir_120140039,
city_division_44,محله جلفا,city_ir_120140039,
city_division_45,محله جوی آباد قدیم,city_ir_120140039,
city_division_46,محله جویباره,city_ir_120140039,
city_division_47,محله جی,city_ir_120140039,
city_division_48,محله خوابجون,city_ir_120140039,
city_division_49,محله خواجو,city_ir_120140039,
city_division_50,محله دردشت,city_ir_120140039,
city_division_51,محله رهنان,city_ir_120140039,
city_division_52,محله زینبیه,city_ir_120140039,
city_division_53,محله سیچان,city_ir_120140039,
city_division_54,محله شهشهان,city_ir_120140039,
city_division_55,محله شیخ صدوق,city_ir_120140039,
city_division_56,محله طوقچی,city_ir_120140039,
city_division_57,محله عباس آباد,city_ir_120140039,
city_division_58,محله کارلادان,city_ir_120140039,
city_division_59,محله کنگاز,city_ir_120140039,
city_division_60,محله گارماسه,city_ir_120140039,
city_division_61,محله گورتان,city_ir_120140039,
city_division_62,محله لادان,city_ir_120140039,
city_division_63,محله لنبان,city_ir_120140039,
city_division_64,محله مرداویج,city_ir_120140039,
city_division_65,محله مهرآباد,city_ir_120140039,
city_division_66,محله نصرآباد,city_ir_120140039,
city_division_67,محله ولدان,city_ir_120140039,
